Date,Open,High,Low,Close,Adj Close,Volume
2018-04-24,58.480000,58.660000,57.650002,57.810001,54.401276,7793600
2018-04-25,58.270000,58.270000,57.290001,57.709999,54.307163,8367400
2018-04-26,58.110001,60.180000,57.849998,59.380001,55.878696,14516600
2018-04-27,58.070000,58.980000,57.500000,58.360001,54.918846,11975200
2018-04-30,58.389999,58.509998,57.459999,57.570000,54.175426,7854600
2018-05-01,57.669998,58.250000,57.439999,58.130001,54.702404,7257500
2018-05-02,58.060001,58.090000,56.529999,56.700001,53.356712,7299100
2018-05-03,56.520000,56.570000,55.540001,56.130001,52.820332,7152400
2018-05-04,56.540001,57.930000,56.490002,57.680000,54.278934,9279200
2018-05-07,58.990002,59.040001,57.270000,57.450001,54.062500,10630600
2018-05-08,57.450001,57.709999,57.000000,57.669998,54.269524,7234000
2018-05-09,57.430000,57.619999,56.790001,57.040001,53.957359,7015300
2018-05-10,57.180000,57.700001,57.020000,57.650002,54.534393,6565800
2018-05-11,57.720001,57.860001,57.070000,57.270000,54.174934,5843400
2018-05-14,57.360001,57.509998,56.990002,57.130001,54.042500,5871800
2018-05-15,57.000000,57.099998,56.349998,56.639999,53.578976,7415800
2018-05-16,56.830002,57.330002,56.790001,57.150002,54.061413,4843900
2018-05-17,57.200001,57.349998,56.980000,57.200001,54.108711,6110100
2018-05-18,57.270000,57.389999,56.860001,57.160000,54.070873,7786000
2018-05-21,57.400002,57.820000,57.259998,57.340000,54.241150,5379300
2018-05-22,57.500000,57.619999,56.910000,56.959999,53.881683,5355600
2018-05-23,56.799999,57.570000,56.759998,57.490002,54.383045,5339900
2018-05-24,57.439999,57.740002,57.119999,57.680000,54.562771,5681600
2018-05-25,57.680000,58.380001,57.580002,57.919998,54.789799,6783800
2018-05-29,57.700001,57.880001,57.009998,57.230000,54.137089,6475900
2018-05-30,57.430000,57.660000,57.150002,57.480000,54.373585,5762400
2018-05-31,57.180000,57.470001,56.549999,56.669998,53.607349,9433000
2018-06-01,56.840000,57.029999,56.610001,56.910000,53.834389,4967700
2018-06-04,57.099998,57.200001,56.799999,57.070000,53.985733,7484100
2018-06-05,56.689999,56.700001,55.279999,55.680000,52.670856,18278800
2018-06-06,55.840000,57.180000,55.619999,57.169998,54.080326,13709800
2018-06-07,57.290001,57.939999,57.090000,57.139999,54.051952,7919800
2018-06-08,56.919998,57.060001,56.520000,56.599998,53.541138,8433500
2018-06-11,56.610001,56.740002,56.270000,56.480000,53.427616,7181700
2018-06-12,56.599998,56.900002,56.299999,56.480000,53.427616,8249700
2018-06-13,56.509998,56.700001,56.180000,56.209999,53.172218,8283200
2018-06-14,56.459999,57.070000,56.310001,57.020000,53.938438,11049700
2018-06-15,57.040001,57.209999,56.459999,57.110001,54.023579,12408300
2018-06-18,56.770000,57.320000,56.110001,57.220001,54.127625,9676900
2018-06-19,56.650002,57.500000,56.340000,57.430000,54.326279,9965500
2018-06-20,54.830002,55.009998,51.580002,52.220001,49.397846,62091100
2018-06-21,52.290001,52.630001,50.360001,50.619999,47.884319,30723000
2018-06-22,51.000000,51.720001,50.820000,51.240002,48.470806,24429600
2018-06-25,51.160000,51.439999,50.209999,50.660000,47.922161,15578600
2018-06-26,50.509998,50.630001,50.110001,50.380001,47.657288,12930600
2018-06-27,50.520000,50.529999,49.840000,49.840000,47.146477,14576900
2018-06-28,49.450001,49.480000,47.369999,48.540001,45.916737,33210100
2018-06-29,48.080002,49.259998,48.080002,48.849998,46.209969,17413000
2018-07-02,48.639999,49.099998,48.549999,49.060001,46.408630,9870900
2018-07-03,49.150002,49.299999,48.759998,48.770000,46.134296,7517500
2018-07-05,48.919998,49.029999,48.400002,48.610001,45.982948,9630500
2018-07-06,48.900002,49.189999,48.580002,48.980000,46.332954,10712000
2018-07-09,49.209999,50.049999,49.209999,49.900002,47.203236,12811700
2018-07-10,50.080002,50.509998,49.959999,50.419998,47.695129,9038000
2018-07-11,50.220001,50.480000,50.020000,50.139999,47.430264,9542400
2018-07-12,50.360001,50.660000,50.200001,50.250000,47.534313,9339200
2018-07-13,50.259998,51.650002,50.259998,51.619999,48.830273,21718400
2018-07-16,51.549999,51.549999,50.689999,50.939999,48.187027,16974900
2018-07-17,50.660000,51.299999,50.599998,51.279999,48.508648,11421300
2018-07-18,51.340000,51.619999,51.000000,51.150002,48.385681,13549500
2018-07-19,51.110001,51.490002,51.000000,51.340000,48.565407,11415600
2018-07-20,51.060001,51.240002,50.750000,50.910000,48.158649,11024100
2018-07-23,50.759998,51.270000,50.759998,51.189999,48.423515,8406800
2018-07-24,51.299999,51.720001,51.060001,51.169998,48.404591,9921500
2018-07-25,51.009998,51.720001,51.009998,51.619999,48.830273,11368000
2018-07-26,51.680000,51.840000,51.340000,51.450001,48.669472,11114800
2018-07-27,51.500000,52.599998,50.209999,52.150002,49.331635,15770300
2018-07-30,52.200001,52.849998,51.759998,51.900002,49.095139,14448400
2018-07-31,52.029999,52.689999,51.849998,52.389999,49.558666,9228200
2018-08-01,52.240002,52.240002,51.250000,51.930000,49.123524,11952400
2018-08-02,52.099998,52.349998,51.430000,51.680000,48.887032,13636400
2018-08-03,51.700001,52.450001,51.580002,52.230000,49.407307,8246100
2018-08-06,52.099998,52.270000,51.799999,52.070000,49.255955,6505800
2018-08-07,52.080002,52.209999,51.799999,52.070000,49.255955,5869400
2018-08-08,51.830002,51.930000,51.360001,51.549999,49.103550,7257200
2018-08-09,51.529999,52.020000,51.320000,51.919998,49.455986,7175400
2018-08-10,51.590000,51.630001,51.200001,51.509998,49.065445,10539300
2018-08-13,51.619999,51.959999,51.470001,51.810001,49.351219,7911300
2018-08-14,51.849998,52.740002,51.790001,52.590000,50.094196,9385400
2018-08-15,52.310001,52.939999,52.299999,52.750000,50.246601,9566000
2018-08-16,52.980000,53.360001,52.919998,53.040001,50.522842,8721200
2018-08-17,52.950001,53.610001,52.950001,53.560001,51.018158,8166900
2018-08-20,53.709999,54.160000,53.700001,53.919998,51.361080,9791200
2018-08-21,54.169998,54.439999,53.950001,54.000000,51.437279,7990000
2018-08-22,53.549999,53.639999,52.660000,52.820000,50.313274,10369600
2018-08-23,52.759998,53.189999,52.560001,52.660000,50.160873,8567600
2018-08-24,52.820000,52.919998,52.419998,52.750000,50.246601,9849800
2018-08-27,52.990002,53.180000,52.810001,52.970001,50.456158,6443200
2018-08-28,53.020000,53.470001,52.980000,53.049999,50.532360,7171900
2018-08-29,53.070000,53.439999,52.720001,53.250000,50.722870,6604900
2018-08-30,53.119999,53.410000,52.970001,53.099998,50.579990,5576400
